회사명,산업,매출액,사원수,학업성취도,외국어,전문능력,대외활동,스펙지수
KDB산업은행,은행·금융,"33조 848억 3,300만원","3,251명 재직중",7.9,8.5,5.9,4.2,292
히로세코리아(주),전기·전자·제어,"2,850억",708명 재직중,7.9,7.7,5.8,2.0,260
우미건설㈜,건설·시공·토목·조경,"8,723억 966만원",750명 재직중,8.2,8.2,8.3,0.4,238
(주)와이지-원,금속·재료·자재,"4,578억원","1,582명 재직중",8.0,7.7,7.1,2.3,262
현대오토에버(주),솔루션·SI·CRM·ERP,"1조 6,849억 5,315만원","3,594명 재직중",8.2,8.5,6.7,5.0,326
파고다아카데미,학원·어학원·교육원,"212억 9,493만원",116명 재직중,8.0,8.6,4.4,1.7,247
(주)카스,전기·전자·제어,1605억,350명 재직중,7.6,7.9,6.8,4.6,317
에쓰와이이앤씨㈜,건설·시공·토목·조경,"912억 5,231만원",90명 재직중,7.8,5.6,9.1,0.9,238
삼성전자(주),전기·전자·제어,"199조 7,447억 500만원","113,078명 재직중",8.2,8.5,5.2,4.0,336
비씨카드(주),증권·보험·카드,"3조 5,249억 2,657만원",868명 재직중,7.8,8.4,6.4,2.2,233
(주)에듀윌,학원·어학원·교육원,1550억원,900명 재직중,8.0,8.1,8.3,4.0,290
(주)모다이노칩,전기·전자·제어,"1,429억 7,337만원",475명 재직중,7.7,6.1,6.0,2.2,222
엘에스엠트론,금속·재료·자재,2조,"7,000명 재직중",8.0,8.1,4.1,3.7,294
칼자이스(주),전기·전자·제어,1727억,265명 재직중,7.8,8.5,5.7,1.4,241
(주)에이비비코리아,전기·전자·제어,"3,156억 9,619만원",450명 재직중,8.0,8.2,4.6,3.8,311
에이치디씨,건설·시공·토목·조경,"595억 4,375만원","2,000명 재직중",7.7,8.0,6.0,1.2,208
(주)유니온커뮤니티,전기·전자·제어,39966백만,120명 재직중,7.8,7.3,5.9,4.7,324
씨에스케이㈜,반도체·디스플레이·광학,2000억,650명 재직중,7.8,6.3,7.0,2.0,251
(주)셀랩,생활화학·화장품,160억,96명 재직중,7.5,0.0,5.5,1.4,222
